id ra dec hi_size line_flux_integral central_freq pa i w20
42 0.1327222222222222 34.74805555555556 93 0.84 14071 180 45 150
43 0.1345 32.212500000000006 297 1.51 10447 180 45 343
44 0.1351111111111111 32.636944444444445 140 0.53 5082 180 45 152
45 0.13994444444444445 31.084722222222222 270 1.45 13145 180 45 306
46 0.13952777777777778 33.02972222222222 181 1.61 4950 180 45 192
47 0.14172222222222222 34.78583333333333 88 0.69 10406 180 45 97
48 0.14633333333333334 33.44027777777777 447 3.27 4820 180 45 456
49 0.1517222222222222 34.46666666666667 100 0.94 6315 180 45 117
50 0.17297222222222222 31.40111111111111 202 1.1 13759 180 45 230
51 0.17794444444444443 32.98388888888889 306 4.89 4789 180 45 363
52 0.17852777777777776 35.855555555555554 117 2.63 6157 180 45 169
53 0.17908333333333332 33.3525 382 9.22 4769 180 45 407
54 0.18402777777777776 35.84583333333334 296 1.45 14234 180 45 304
55 0.18883333333333333 35.53361111111111 48 0.52 5008 180 45 74
56 0.19797222222222222 35.678888888888885 63 0.51 4966 180 45 84
57 0.20375000000000001 31.746944444444445 39 0.6 4790 180 45 63
58 0.20547222222222222 31.064722222222223 182 3.71 4856 180 45 198
59 0.20680555555555558 32.08416666666667 217 2.22 6572 180 45 238
60 0.21472222222222223 33.36472222222223 213 7.16 4759 180 45 227
61 0.2205277777777778 33.073888888888895 154 1.16 4740 180 45 164
62 0.23077777777777778 35.99277777777778 219 11.63 4535 180 45 233
63 0.2418888888888889 31.32777777777778 153 0.96 7977 180 45 182
64 0.26172222222222224 35.39083333333333 196 1.14 14192 180 45 226
65 0.2716111111111111 36.02722222222222 127 1.07 10517 180 45 165
66 0.2745 31.640555555555554 350 1.29 14208 180 45 379
67 0.2748888888888889 33.06027777777778 21 0.56 4773 180 45 38
68 0.2842222222222222 34.501666666666665 125 3.34 4670 180 45 139
69 0.28525 31.570833333333333 274 1.4 14270 180 45 283
70 0.28547222222222224 34.03777777777778 173 1.04 5007 180 45 208
71 0.28655555555555556 35.88027777777778 198 0.87 11792 180 45 217
72 0.287 32.72416666666667 163 0.96 8196 180 45 189
73 0.29833333333333334 33.71333333333334 237 0.97 7384 180 45 265
74 0.3109722222222222 32.14972222222222 212 1.27 7237 180 45 271
75 0.3436666666666667 34.56027777777778 98 0.95 8918 180 45 119
76 0.348 31.483611111111113 272 1.41 17175 180 45 280
77 0.363 35.84138888888889 179 0.76 11720 180 45 193
78 0.3657222222222222 34.62694444444445 70 0.94 6279 180 45 135
79 0.3703611111111111 34.70277777777778 165 1.19 6277 180 45 172
80 0.37625 35.7875 78 0.45 4977 180 45 108
81 0.3859444444444445 35.153888888888886 204 1.06 6108 180 45 220
82 0.3920555555555556 35.18083333333333 295 2.04 7321 180 45 308
83 0.39563888888888893 31.248055555555556 27 1.4 7096 180 45 45
84 0.4103611111111111 31.635555555555555 38 0.43 6600 180 45 60
85 0.4103333333333333 33.25194444444445 255 4.62 4839 180 45 289
86 0.41783333333333333 31.35027777777778 401 7.44 6801 180 45 425
87 0.42075 31.235277777777778 124 0.81 6660 180 45 142
88 0.4344166666666667 34.476111111111116 94 0.87 4852 180 45 112
89 0.4439722222222222 36.00416666666667 124 1.37 7302 180 45 137
90 0.4469444444444445 31.700555555555553 366 4.4 6294 180 45 391
91 0.45725 31.264444444444443 169 0.96 6036 180 45 175
92 0.46172222222222226 31.27138888888889 137 0.72 6007 180 45 152
93 0.46575 32.775 164 2.34 4923 180 45 201
