id ra dec hi_size line_flux_integral central_freq pa i w20
0 23.5135765075684 33.5977935791016 203.8081054687500 1.9735563993454 1021560000.0 216.4547119140625 52.2082710266113 0.0000000035727
1 23.5135383605957 33.5976295471191 208.3796386718750 1.9667456150055 1021437632.0 223.4234466552734 52.8076896667480 0.0000000038951
2 23.5119419097900 33.5968437194824 211.7756347656250 1.9234142303467 1020460864.0 206.8962402343750 50.8864440917969 0.0000000037879
3 23.5138053894043 33.5985755920410 210.4694824218750 2.0102808475494 1015456128.0 215.5376739501953 51.9245071411133 0.0000000036158
4 23.5145950317383 33.5976676940918 211.3837890625000 1.9419732093811 970534016.0 198.9353332519531 51.5682449340820 0.0000000041394
5 23.5129108428955 33.5979537963867 199.1059570312500 1.9434657096863 1021682304.0 215.0958099365234 51.1743125915527 0.0000000034957
6 23.5122108459473 33.5974617004395 205.2448730468750 1.9457064867020 1020583104.0 203.0646209716797 51.3178138732910 0.0000000032840
7 23.5133056640625 33.5974349975586 213.3430175781250 1.9531944990158 1004958336.0 212.5500030517578 50.8503799438477 0.0000000036612
8 23.5140457153320 33.5979270935059 206.2897949218750 1.9857226610184 992995072.0 200.7848663330078 51.4610252380371 0.0000000041489
9 23.5141201019287 33.5983200073242 209.6857910156250 2.0706257820129 1016554688.0 219.7625274658203 51.1383934020996 0.0000000037919
10 23.5131092071533 33.5975646972656 213.0817871093750 2.0056531429291 1001296256.0 242.0628509521484 51.0665016174316 0.0000000042600
11 23.5141162872314 33.5989036560059 199.4978027343750 1.9554464817047 1028396160.0 214.5085296630859 52.0665283203125 0.0000000033767
12 23.5130672454834 33.5981178283691 214.3879394531250 1.9300749301910 982497280.0 300.6506652832031 49.6862602233887 0.0000000043375
13 23.5128307342529 33.5982131958008 206.6816406250000 1.9539449214935 1008497920.0 212.7352294921875 50.5973968505859 0.0000000036236
14 23.5128765106201 33.5974655151367 210.9919433593750 1.9108954668045 997999808.0 221.8201751708984 51.7465934753418 0.0000000037002
15 23.5144271850586 33.5991325378418 215.5634765625000 2.0327990055084 1016432896.0 202.8010101318359 51.8178100585938 0.0000000037366
16 23.5145549774170 33.5976028442383 209.6857910156250 1.9516946077347 1004714368.0 198.2813415527344 51.7109603881836 0.0000000037927
17 23.5140495300293 33.5974388122559 207.7265625000000 2.0296781063080 1016676480.0 214.0888671875000 50.2343902587891 0.0000000037784
18 23.5127563476562 33.5979194641113 210.0776367187500 1.9758318662643 991042624.0 197.7764129638672 51.2819633483887 0.0000000039567
19 23.5143184661865 33.5980262756348 206.4204101562500 2.0257837772369 1001174336.0 216.8699035644531 51.3536415100098 0.0000000036829
20 23.5118980407715 33.5975265502930 205.3754882812500 1.9811515808105 1008620096.0 212.0404052734375 50.2343902587891 0.0000000034988
21 23.5140838623047 33.5978927612305 209.6857910156250 2.0706257820129 1018752192.0 205.1678771972656 51.4252471923828 0.0000000034012
22 23.5131473541260 33.5978240966797 204.1999511718750 1.9925992488861 993116864.0 198.3383331298828 51.5682449340820 0.0000000040393
23 23.5129432678223 33.5988998413086 208.5102539062500 2.0149192810059 1013503936.0 220.4711761474609 50.4886932373047 0.0000000035406
